Curriculum,Module Title,Level,Audience,Category,Prerequisite Modules,Topic Covered,Media Title,Format,Language,Media Link,Author,Topic,Broader Topics,Narrower Topics
,NSDC Flashcards: Ontologies,,,,,"Project Ontology, Ontology",Ontology Flashcard #1: What is a Project Ontology?,Video,English,https://www.youtube.com/watch?v=5Lj76uJwL3c&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=1&pp=iAQB,Northeast Big Data Innovation Hub,,,
,NSDC Flashcards: Ontologies,,,,Ontology Flashcard #1: What is a Project Ontology?,"Ontology Design, Classes, Properties, Relationships",Ontology Flashcard #2: How is an Ontology Designed?,Video,English,https://www.youtube.com/watch?v=pcAGVno_kYA&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=2&pp=iAQB,Northeast Big Data Innovation Hub,,,
,NSDC Flashcards: Ontologies,,,,Ontology Flashcard #2: How is an Ontology Designed?,"Ontology Usecase, Data Tagging",Ontology Flashcard #3: How do we use Ontologies?,Video,English,https://www.youtube.com/watch?v=mmbdmo_GG48&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=3&pp=iAQB,Northeast Big Data Innovation Hub,,,
,NSDC Flashcards: Ontologies,,,,Ontology Flashcard #3: How do we use Ontologies?,"Semantics, Semantic Entity Matching",Ontology Flashcard #4: What is Semantic Entity Matching?,Video,English,https://www.youtube.com/watch?v=ahgAFEyymBw&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=4&pp=iAQB,Northeast Big Data Innovation Hub,,,
,NSDC Flashcards: Ontologies,,,,,"Project Ontology, Ontology, Ontology Design, Classes, Properties, Relationships, Ontology Usecase, Data Tagging, Semantics, Semantic Entity Matching",NSDC Flashcards: Project Ontology Collection,Transcript,English,https://docs.google.com/document/d/1y5JcPxrYRAVKLiPkC8O1P-mjK1Dq_60CpWdqi50GGuA/edit?tab=t.0,Northeast Big Data Innovation Hub,,,
,,,,,,,,,,,,Semantics,,"Ontology, Data Tagging, Semantic Entity Matching"
,,,,,,,,,,,,Ontology,Semantics,"Ontology Design, Ontology Usecase, Project Ontology"
,,,,,,,,,,,,Ontology Design,Ontology,"Project Ontology, Classes, Properties, Relationships"
,,,,,,,,,,,,Ontology Usecase,Ontology,Data Tagging
,,,,,,,,,,,,Project Ontology,"Ontology, Ontology Design","Classes, Properties, Relationships"
,,,,,,,,,,,,Classes,"Ontology, Ontology Design, Project Ontology",
,,,,,,,,,,,,Properties,"Ontology, Ontology Design, Project Ontology",
,,,,,,,,,,,,Relationships,"Ontology, Ontology Design, Project Ontology",
,,,,,,,,,,,,Data Tagging,"Ontology Usecase, Semantics",Semantic Entity Matching
,,,,,,,,,,,,Semantic Entity Matching,"Data Tagging, Semantics",
