Persona,Learning Path,Curriculum,Module Title,Module Level,Module Category,Module Topics Covered,Media Title,Media Link,Media Type,Media Topics Covered,Audience,Language,Author,Topic,Broader Topics,Narrower Topics,Event,Event Type,Sub Events
,,Open Knowledge Graph,What is an Ontology?,,,,What is an Ontology?,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/2.%20What%20is%20Ontology.md,Article,"Ontology, Linked Data, Taxonomy, Schema, Statement, Triple",,English,GPT4o,,,,,,
,,Open Knowledge Graph,What is a Knowledge Graph?,,,,What is a Knowledge Graph?,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/3.%20What%20is%20a%20Knowledge%20Graph.md,Article,"Schema, Statements, Triple",,English,GPT4o,,,,,,
,,Open Knowledge Graph,What is an Identifier?,,,,What is an Identifier?,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/4.%20What%20is%20an%20Identifier.md,Article,"URI, Hash or Slash, Namespace",,English,GPT4o,,,,,,
,,Open Knowledge Graph,Introduction to Logic,,,,Introduction to Logic,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/5.%20Introduction%20to%20Logic.md,Article,"Conjunction, Disjunction, Boolean Arithmetic",,English,GPT4o,,,,,,
,,Open Knowledge Graph,Propositional Logic,,,,Propositional Logic,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/6.%20Propositional%20Logic.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,Datalog,,,,Datalog,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/7.%20Datalog.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,Predicate Logic,,,,Predicate Logic,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/8.%20Predicate%20Logic.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,Description Logic,,,,Description Logic,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/9.%20Description%20Logic.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,Rules,,,,Rules,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/10.%20Rules.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,Introduction to Set Theory,,,,Introduction to Set Theory,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/11.%20Introduction%20to%20Set%20Theory.md,Article,"Union, Disjunction, Disjointness, Intersection, Cardinality, Tuple, Graph",,English,GPT4o,,,,,,
,,Open Knowledge Graph,Introduction to Discrete Mathematics,,,,Introduction to Discrete Mathematics,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/12.%20Introduction%20to%20Discrete%20Mathematics.md,Article,"Functionality, Reflexivity, Transitivity, Inverse, Domain, Range",,English,GPT4o,,,,,,
,,Open Knowledge Graph,Open World Assumption vs Closed World Assumption,,,,Open World Assumption vs Closed World Assumption,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/13.%20Open%20World%20Assumption%20vs%20Closed%20World%20Assumption.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,RDF,,,,RDF,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/14.%20RDF.md,Article,"Triple, Subject, Object, Predicate, Class, Type, Namespaces, Literals, Blank Node, Property",,English,GPT4o,,,,,,
,,Open Knowledge Graph,RDFS,,,,RDFS,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/15.%20RDFS.md,Article,"Subclass, Subproperty, Domain Restrictions, Range Restrictions",,English,GPT4o,,,,,,
,,Open Knowledge Graph,RDF Serializations,,,,RDF Serializations,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/16.%20RDF%20Serializations.md,Article,"RDF/XML, JSON-LD, Turtle",,English,GPT4o,,,,,,
,,Open Knowledge Graph,RDF Star,,,,RDF Star,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/17.%20RDF%20Star.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,SPARQL,,,,SPARQL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/18.%20SPARQL.md,Article,"Query, Select, Update, Delete, Insert, Construct, Explain",,English,GPT4o,,,,,,
,,Open Knowledge Graph,SWRL,,,,SWRL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/19.%20module.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,OWL,,,,OWL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/20.%20module.md,Article,"OWL, OWL2, Datatypes, Data Properties, Object Properties, Axiom, Equiavalence, Anonymous Class, Annotations",,English,GPT4o,,,,,,
,,Open Knowledge Graph,OWL Dialects,,,,OWL Dialects,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/21.%20module.md,Article,"Expressivity, OWL EL, OWL QL, OWL RL, OWL DL, OWL Full",,English,GPT4o,,,,,,
,,Open Knowledge Graph,Manchester Syntax,,,,Manchester Syntax,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/22.%20module.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,SHACL,,,,SHACL,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/23.%20module.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,Schema.org,,,,Schema.org,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/24.%20module.md,Article,"rangeIncludes, domainIncludes",,English,GPT4o,,,,,,
,,Open Knowledge Graph,Dublin Core,,,,Dublin Core,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/25.%20module.md,Article,,,English,GPT4o,,,,,,
,,Open Knowledge Graph,SOSA & SSN,,,,SOSA & SSN,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/26.%20module.md,Article,,,English,GPT4o,,,,,,
