Curriculum,Module Title,Level,Audience,Category,Prerequisite Modules,Topic Covered,Media Title,Format,Language,Media Link,Author,Topic,Broader Topics,Narrower Topics
,,,,,,"Demographic Disparities, Algorithmic Discrimination, Statistical Fairness Criteria",FAIRNESS AND MACHINE LEARNING Limitations and Opportunities,Book,English,https://drive.google.com/file/d/16G80HMbUd_xmAsgdZjQZzjHJHmBz-ghz/view?usp=share_link,"Solon Barocas, Moritz Hardt, Arvind Narayanan",,,
,,,,,,"Computing methodologies, Natural language processing",On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?,Conference Proceeding,English,https://drive.google.com/file/d/1BuDD42YI6giFs8m-6_5eggm4KC-YayxB/view?usp=sharing,"Emily M. Bender, Timnit Gebru, Angelina McMillan-Major, Shmargaret Shmitchell",,,
,,,,,,"Large Language Models, Intelligent Agents, Generative AI, Autonomous Experimentation, Automation, Physical Sciences, Catalysis",Emergent autonomous scientific research capabilities of large language models,Article,English,https://drive.google.com/file/d/1rl3sPbJU5wQfsZd4Gg_RoENYx7BAvyRL/view?usp=sharing,"Daniil A. Boiko, Robert MacKnight, Gabe Gomes",,,
,,,,,,"targeting, advertising, algorithms, identity, profiling","Identity, Advertising, and Algorithmic Targeting: Or How (Not) to Target Your “Ideal User”",Research Article,English,https://drive.google.com/file/d/1QiJPLo3f723cR-r7tiuUcYnRCpwUd18U/view?usp=sharing,Tanya Kant,,,
,,,,,,"Social media, User data, Biases, Evaluation, Ethics","Social Data: Biases, Methodological Pitfalls, and Ethical Boundaries",,English,https://drive.google.com/file/d/1jX3mewr0212W02r-GdWkitcYm9Tu3iDu/view?usp=sharing,"Alexandra Olteanu, Carlos Castillo, Fernando Diaz, Emre Kıcıman",,,
,,,,,,"Machine-Actionable, Data Stewardship, Interoperability",The FAIR Guiding Principles for scientific data management and stewardship,Article,English,https://drive.google.com/file/d/18gvh5rypC9ND1UGHapznquxWrZFqizyT/view?usp=sharing,"Mark D. Wilkinson, Michel Dumontier, IJsbrand Jan Aalbersberg, Gabrielle Appleton, Myles Axton, Arie Baak, Niklas Blomberg, Jan-Willem Boiten, Luiz Bonino da Silva Santos, Philip E. Bourne, Jildau Bouwman, Anthony J. Brookes, Tim Clark, Mercè Crosas, Ingrid Dillo, Olivier Dumon, Scott Edmunds, Chris T. Evelo, Richard Finkers, Alejandra Gonzalez-Beltran, Alasdair J.G. Gray, Paul Groth, Carole Goble, Jeffrey S. Grethe, Jaap Heringa, Peter A.C. ’t Hoen, Rob Hooft, Tobias Kuhn, Ruben Kok, Joost Kok, Scott J. Lusher, Maryann E. Martone, Albert Mons, Abel L. Packer, Bengt Persson, Philippe Rocca-Serra, Marco Roos, Rene van Schaik, Susanna-Assunta Sansone, Erik Schultes, Thierry Sengstag, Ted Slater, George Strawn, Morris A. Swertz, Mark Thompson, Johan van der Lei, Erik van Mulligen, Jan Velterop, Andra Waagmeester, Peter Wittenburg, Katherine Wolstencroft, Jun Zhao, Barend Mons",,,
,,,,,,"Computer Vision, Algorithmic Audit, Gender Classification",Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,Conference Proceeding,English,https://drive.google.com/file/d/17hLdbYBHiVPnOSiTRUuoploXJi9y_UN-/view?usp=sharing,"Joy Buolamwini, Timnit Gebru",,,
,,,,,,"Big Data, Data sharing, Genomics, Ethics, Law, Privacy, Consent",Ethics and Big Data in health,"Article, Journal",English,https://drive.google.com/file/d/1FeaiqYRQ3VVASdqmDZUBKfe32mJ6pIMM/view?usp=sharing,"Bartha Maria Knoppers, Adrian Mark Thorogood",,,
,,,,,,"Re-identification, Consent Framework, Data Minimization",PRIVACY IN THE AGE OF BIG DATA: A TIME FOR BIG DECISIONS,Article,English,https://drive.google.com/file/d/1uQ5W6E6b47tR2ML_Sv9wR8z3ulDXD2tX/view?usp=sharing,"Omer Tene, Jules Polonetsky",,,
,,,,,,"Information and Communication Technology Research (ICTR), Ethical Impact Assessment, Respect for Law and Public Interest",The Menlo Report: Ethical Principles Guiding Information and Communication Technology Research,"Article, Journal",English,https://drive.google.com/file/d/1nzg-lGUzpHzGD4GA-HjJhgaAXSq_mFXR/view?usp=sharing,"David Dittrich, Erin Kenneally",,,
