Persona,Learning Path,Curriculum,Module Title,Module Level,Module Category,Module Topics Covered,Media Title,Media Link,Media Type,Media Topics Covered,Audience,Language,Author,Topic,Broader Topics,Narrower Topics,Event,Event Type,Sub Events
,,,,,,,FAIRNESS AND MACHINE LEARNING Limitations and Opportunities,https://drive.google.com/file/d/16G80HMbUd_xmAsgdZjQZzjHJHmBz-ghz/view?usp=share_link,Book,"Demographic Disparities, Algorithmic Discrimination, Statistical Fairness Criteria",,English,"Solon Barocas, Moritz Hardt, Arvind Narayanan",,,,,,
,,,,,,,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?,https://drive.google.com/file/d/1BuDD42YI6giFs8m-6_5eggm4KC-YayxB/view?usp=sharing,Conference Proceeding,"Computing methodologies, Natural language processing",,English,"Emily M. Bender, Timnit Gebru, Angelina McMillan-Major, Shmargaret Shmitchell",,,,,,
,,,,,,,Emergent autonomous scientific research capabilities of large language models,https://drive.google.com/file/d/1rl3sPbJU5wQfsZd4Gg_RoENYx7BAvyRL/view?usp=sharing,Article,"Large Language Models, Intelligent Agents, Generative AI, Autonomous Experimentation, Automation, Physical Sciences, Catalysis",,English,"Daniil A. Boiko, Robert MacKnight, Gabe Gomes",,,,,,
,,,,,,,"Identity, Advertising, and Algorithmic Targeting: Or How (Not) to Target Your �Ideal User�",https://drive.google.com/file/d/1QiJPLo3f723cR-r7tiuUcYnRCpwUd18U/view?usp=sharing,Research Article,"targeting, advertising, algorithms, identity, profiling",,English,Tanya Kant,,,,,,
,,,,,,,"Social Data: Biases, Methodological Pitfalls, and Ethical Boundaries",https://drive.google.com/file/d/1jX3mewr0212W02r-GdWkitcYm9Tu3iDu/view?usp=sharing,,"Social media, User data, Biases, Evaluation, Ethics",,English,"Alexandra Olteanu, Carlos Castillo, Fernando Diaz, Emre K�c�man",,,,,,
,,,,,,,The FAIR Guiding Principles for scientific data management and stewardship,https://drive.google.com/file/d/18gvh5rypC9ND1UGHapznquxWrZFqizyT/view?usp=sharing,Article,"Machine-Actionable, Data Stewardship, Interoperability",,English,"Mark D. Wilkinson, Michel Dumontier, IJsbrand Jan Aalbersberg, Gabrielle Appleton, Myles Axton, Arie Baak, Niklas Blomberg, Jan-Willem Boiten, Luiz Bonino da Silva Santos, Philip E. Bourne, Jildau Bouwman, Anthony J. Brookes, Tim Clark, Merc� Crosas, Ingrid Dillo, Olivier Dumon, Scott Edmunds, Chris T. Evelo, Richard Finkers, Alejandra Gonzalez-Beltran, Alasdair J.G. Gray, Paul Groth, Carole Goble, Jeffrey S. Grethe, Jaap Heringa, Peter A.C. �t Hoen, Rob Hooft, Tobias Kuhn, Ruben Kok, Joost Kok, Scott J. Lusher, Maryann E. Martone, Albert Mons, Abel L. Packer, Bengt Persson, Philippe Rocca-Serra, Marco Roos, Rene van Schaik, Susanna-Assunta Sansone, Erik Schultes, Thierry Sengstag, Ted Slater, George Strawn, Morris A. Swertz, Mark Thompson, Johan van der Lei, Erik van Mulligen, Jan Velterop, Andra Waagmeester, Peter Wittenburg, Katherine Wolstencroft, Jun Zhao, Barend Mons",,,,,,
,,,,,,,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,https://drive.google.com/file/d/17hLdbYBHiVPnOSiTRUuoploXJi9y_UN-/view?usp=sharing,Conference Proceeding,"Computer Vision, Algorithmic Audit, Gender Classification",,English,"Joy Buolamwini, Timnit Gebru",,,,,,
,,,,,,,Ethics and Big Data in health,https://drive.google.com/file/d/1FeaiqYRQ3VVASdqmDZUBKfe32mJ6pIMM/view?usp=sharing,"Article, Journal","Big Data, Data sharing, Genomics, Ethics, Law, Privacy, Consent",,English,"Bartha Maria Knoppers, Adrian Mark Thorogood",,,,,,
,,,,,,,PRIVACY IN THE AGE OF BIG DATA: A TIME FOR BIG DECISIONS,https://drive.google.com/file/d/1uQ5W6E6b47tR2ML_Sv9wR8z3ulDXD2tX/view?usp=sharing,Article,"Re-identification, Consent Framework, Data Minimization",,English,"Omer Tene, Jules Polonetsky",,,,,,
,,,,,,,The Menlo Report: Ethical Principles Guiding Information and Communication Technology Research,https://drive.google.com/file/d/1nzg-lGUzpHzGD4GA-HjJhgaAXSq_mFXR/view?usp=sharing,"Article, Journal","Information and Communication Technology Research (ICTR), Ethical Impact Assessment, Respect for Law and Public Interest",,English,"David Dittrich, Erin Kenneally",,,,,,
