Persona,Learning Path,Curriculum,Module Title,Module Level,Module Category,Module Topics Covered,Media Title,Media Link,Media Type,Media Topics Covered,Audience,Language,Author,Topic,Broader Topics,Narrower Topics,Event,Event Type,Sub Events
,,,,,,,Ontology Flashcard #1: What is a Project Ontology?,https://www.youtube.com/watch?v=5Lj76uJwL3c&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=1&pp=iAQB,Video,"Project Ontology, Ontology",,English,Northeast Big Data Innovation Hub,,,,,,
,,,,,,,Ontology Flashcard #2: How is an Ontology Designed?,https://www.youtube.com/watch?v=pcAGVno_kYA&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=2&pp=iAQB,Video,"Ontology Design, Classes, Properties, Relationships",,English,Northeast Big Data Innovation Hub,,,,,,
,,,,,,,Ontology Flashcard #3: How do we use Ontologies?,https://www.youtube.com/watch?v=mmbdmo_GG48&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=3&pp=iAQB,Video,"Ontology Usecase, Data Tagging",,English,Northeast Big Data Innovation Hub,,,,,,
,,,,,,,Ontology Flashcard #4: What is Semantic Entity Matching?,https://www.youtube.com/watch?v=ahgAFEyymBw&list=PLNs9ZO9jGtUBe9WASWcIEe1KA7x9Yxrsc&index=4&pp=iAQB,Video,"Semantics, Semantic Entity Matching",,English,Northeast Big Data Innovation Hub,,,,,,
,,,,,,,NSDC Flashcards: Project Ontology Collection,https://docs.google.com/document/d/1y5JcPxrYRAVKLiPkC8O1P-mjK1Dq_60CpWdqi50GGuA/edit?tab=t.0,Transcript,"Project Ontology, Ontology, Ontology Design, Classes, Properties, Relationships, Ontology Usecase, Data Tagging, Semantics, Semantic Entity Matching",,English,Northeast Big Data Innovation Hub,,,,,,
,,,,,,,,,,,,,,Semantics,,"Ontology, Data Tagging, Semantic Entity Matching",,,
,,,,,,,,,,,,,,Ontology,Semantics,"Ontology Design, Ontology Usecase, Project Ontology",,,
,,,,,,,,,,,,,,Ontology Design,Ontology,"Project Ontology, Classes, Properties, Relationships",,,
,,,,,,,,,,,,,,Ontology Usecase,Ontology,Data Tagging,,,
,,,,,,,,,,,,,,Project Ontology,"Ontology, Ontology Design","Classes, Properties, Relationships",,,
,,,,,,,,,,,,,,Classes,"Ontology, Ontology Design, Project Ontology",,,,
,,,,,,,,,,,,,,Properties,"Ontology, Ontology Design, Project Ontology",,,,
,,,,,,,,,,,,,,Relationships,"Ontology, Ontology Design, Project Ontology",,,,
,,,,,,,,,,,,,,Data Tagging,"Ontology Usecase, Semantics",Semantic Entity Matching,,,
,,,,,,,,,,,,,,Semantic Entity Matching,"Data Tagging, Semantics",,,,
